"lon","lat","tasmax_1"
0.9375,-89.375,248.849182128906
2.8125,-89.375,248.849105834961
4.6875,-89.375,248.869720458984
6.5625,-89.375,248.859512329102
8.4375,-89.375,248.844696044922
10.3125,-89.375,248.870697021484
12.1875,-89.375,248.891983032227
14.0625,-89.375,248.898696899414
15.9375,-89.375,248.866271972656
17.8125,-89.375,248.903381347656
19.6875,-89.375,248.86784362793
21.5625,-89.375,248.884872436523
23.4375,-89.375,248.886291503906
25.3125,-89.375,248.939804077148
27.1875,-89.375,248.905822753906
29.0625,-89.375,248.879852294922
30.9375,-89.375,248.90803527832
32.8125,-89.375,248.900726318359
34.6875,-89.375,248.911239624023
36.5625,-89.375,248.874313354492
38.4375,-89.375,248.867050170898
40.3125,-89.375,248.852279663086
42.1875,-89.375,248.883850097656
44.0625,-89.375,248.889541625977
45.9375,-89.375,248.907196044922
47.8125,-89.375,248.856918334961
49.6875,-89.375,248.889236450195
51.5625,-89.375,248.874160766602
53.4375,-89.375,248.898529052734
55.3125,-89.375,248.910903930664
57.1875,-89.375,248.895858764648
59.0625,-89.375,248.944488525391
60.9375,-89.375,248.943588256836
62.8125,-89.375,248.953399658203
64.6875,-89.375,248.962371826172
66.5625,-89.375,248.990036010742
68.4375,-89.375,248.982772827148
70.3125,-89.375,248.986129760742
72.1875,-89.375,249.002151489258
74.0625,-89.375,248.988815307617
75.9375,-89.375,248.979095458984
77.8125,-89.375,248.997329711914
79.6875,-89.375,248.982421875
81.5625,-89.375,248.971282958984
83.4375,-89.375,248.956069946289
85.3125,-89.375,248.959823608398
87.1875,-89.375,248.887268066406
89.0625,-89.375,248.864883422852
90.9375,-89.375,248.817153930664
92.8125,-89.375,248.859161376953
94.6875,-89.375,248.813278198242
96.5625,-89.375,248.775131225586
98.4375,-89.375,248.75244140625
100.3125,-89.375,248.767929077148
102.1875,-89.375,248.734115600586
104.0625,-89.375,248.71875
105.9375,-89.375,248.717742919922
107.8125,-89.375,248.670806884766
109.6875,-89.375,248.658111572266
111.5625,-89.375,248.65397644043
113.4375,-89.375,248.630081176758
115.3125,-89.375,248.615753173828
117.1875,-89.375,248.581237792969
119.0625,-89.375,248.591888427734
120.9375,-89.375,248.56037902832
122.8125,-89.375,248.555618286133
124.6875,-89.375,248.54296875
126.5625,-89.375,248.52619934082
128.4375,-89.375,248.518249511719
130.3125,-89.375,248.49382019043
132.1875,-89.375,248.481094360352
134.0625,-89.375,248.454452514648
135.9375,-89.375,248.4814453125
137.8125,-89.375,248.454452514648
139.6875,-89.375,248.435897827148
141.5625,-89.375,248.488388061523
143.4375,-89.375,248.440368652344
145.3125,-89.375,248.400909423828
147.1875,-89.375,248.399932861328
149.0625,-89.375,248.421127319336
150.9375,-89.375,248.440231323242
152.8125,-89.375,248.428359985352
154.6875,-89.375,248.45588684082
156.5625,-89.375,248.420013427734
158.4375,-89.375,248.479354858398
160.3125,-89.375,248.508483886719
162.1875,-89.375,248.503433227539
164.0625,-89.375,248.50114440918
165.9375,-89.375,248.546768188477
167.8125,-89.375,248.57551574707
169.6875,-89.375,248.587646484375
171.5625,-89.375,248.571228027344
173.4375,-89.375,248.606216430664
175.3125,-89.375,248.600112915039
177.1875,-89.375,248.606735229492
179.0625,-89.375,248.583587646484
180.9375,-89.375,248.587982177734
